SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,CLV,ChargesRatio,ServiceCount,HasTechSupport,HasSecurityServices,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup_1-2 years,TenureGroup_2-4 years,TenureGroup_4+ years,TenureGroup_6-12 months,ChargesCategory_Low,ChargesCategory_Medium
0,0,0,34,1,1,106.35,3549.25,1,3615.8999999999996,0.9815675212256977,7,0,1,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False
0,0,0,11,1,1,97.85,1105.4,1,1076.35,1.0269893621963118,6,0,1,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
0,1,1,10,1,0,49.55,475.7,0,495.5,0.9600403632694248,3,0,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
0,1,1,70,1,1,69.2,4872.35,0,4844.0,1.0058526011560693,6,0,1,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True
0,1,1,17,1,0,20.75,418.25,0,352.75,1.1856839121190645,1,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True,False
0,0,0,63,1,1,79.85,4861.45,0,5030.549999999999,0.9663853852958425,8,1,1,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False
0,1,0,13,1,1,76.2,981.45,0,990.6,0.99076317383404,7,1,1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
0,0,0,49,1,1,84.5,3906.7,0,4140.5,0.9435333896872358,4,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
0,0,0,2,1,0,49.25,97.0,0,98.5,0.9847715736040609,3,0,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0,0,0,2,1,1,80.65,144.15,1,161.3,0.893676379417235,3,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
0,0,0,52,1,1,79.75,4217.8,0,4147.0,1.017072582589824,7,1,1,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False
0,1,1,69,1,1,64.15,4254.1,0,4426.35,0.961085318603364,6,1,1,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True
1,0,0,43,1,1,90.25,3838.75,0,3880.75,0.9891773497390969,5,0,1,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
0,0,0,15,1,1,99.1,1426.4,1,1486.5,0.9595694584594686,6,0,1,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False
1,1,0,25,1,1,69.5,1752.65,0,1737.5,1.0087194244604316,6,1,1,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True
1,1,0,8,1,1,80.65,633.3,1,645.2,0.9815561066336018,4,0,1,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1,1,1,60,1,1,74.85,4456.35,0,4491.0,0.9922845691382767,7,1,1,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False
1,0,0,18,1,1,95.45,1752.55,1,1718.1000000000001,1.0200512193702345,5,0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
0,1,1,63,1,1,99.65,6311.2,0,6277.950000000001,1.005296314879857,6,0,1,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False
1,1,1,66,1,1,108.45,7076.35,0,7157.7,0.9886346172653228,8,1,1,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False
0,1,1,34,1,0,24.95,894.3,0,848.3,1.0542260992573382,2,0,0,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False
0,0,0,72,1,1,107.5,7853.7,0,7740.0,1.01468992248062,7,1,1,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False
0,1,0,47,1,1,100.5,4707.1,0,4723.5,0.9965279983063408,6,0,1,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False
0,0,0,60,1,1,89.9,5450.7,0,5394.0,1.010511679644049,5,0,1,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0,1,0,72,0,0,42.1,2962.0,0,3031.2000000000003,0.977170757455793,4,0,1,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0,1,1,18,1,1,54.4,957.1,0,979.1999999999999,0.9774305555555557,4,1,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True
0,0,0,9,1,0,94.4,857.25,1,849.6,1.0090042372881356,5,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
0,0,0,3,1,1,75.3,244.1,0,225.89999999999998,1.0805666223992918,6,1,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
0,1,0,47,1,1,78.9,3650.35,0,3708.3,0.9843728932394897,4,0,1,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
0,0,0,31,1,0,79.2,2497.2,0,2455.2000000000003,1.0171065493646136,7,1,1,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False
0,1,1,50,1,0,20.15,930.9,0,1007.4999999999999,0.9239702233250621,1,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False
0,0,0,10,1,1,79.85,887.35,0,798.5,1.1112711333750782,4,0,1,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0,0,0,1,1,0,49.05,49.05,0,49.05,1.0,3,1,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0,1,1,52,1,1,20.4,1090.65,0,1060.8,1.0281391402714934,1,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False
1,1,1,64,1,1,111.6,7099.0,0,7142.4,0.9939236111111112,8,1,1,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False
0,1,1,62,1,1,24.25,1424.6,0,1503.5,0.9475224476222148,2,0,0,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False
0,0,1,3,1,1,64.5,177.4,0,193.5,0.9167958656330749,5,1,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1,0,0,56,1,0,110.5,6139.5,0,6188.0,0.9921622495151907,8,0,1,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False
0,0,0,46,1,0,55.65,2688.85,0,2559.9,1.0503730614477127,3,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True
0,1,1,8,1,0,54.65,482.25,0,437.2,1.10304208600183,4,0,1,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
1,0,0,30,1,1,74.75,2111.3,0,2242.5,0.9414938684503903,6,0,1,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False
0,1,1,45,1,1,25.9,1216.6,0,1165.5,1.0438438438438438,2,0,0,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False
0,0,1,1,1,1,79.35,79.35,1,79.35,1.0,3,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
0,1,1,11,0,0,50.55,565.35,0,556.05,1.0167251146479634,4,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True
0,1,0,7,1,1,75.15,496.9,1,526.0500000000001,0.9445870164433037,3,0,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,42,1,1,103.8,4327.5,0,4359.599999999999,0.9926369391687312,7,1,1,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
0,1,0,49,1,1,20.15,973.35,0,987.3499999999999,0.9858206309819214,1,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False
0,0,0,9,1,1,99.3,918.75,0,893.6999999999999,1.0280295401141324,6,0,1,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False
0,1,0,35,1,1,62.15,2215.45,0,2175.25,1.0184806344098378,4,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
0,1,1,48,1,0,20.65,1057.0,0,991.1999999999999,1.0663841807909604,1,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False
0,1,1,46,1,1,19.95,927.1,0,917.6999999999999,1.0102429988013513,1,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False
0,1,0,29,0,0,33.75,1009.25,0,978.75,1.031162196679438,2,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True
0,1,1,30,1,0,82.05,2570.2,0,2461.5,1.0441600650010157,4,0,1,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,0,0,1,1,0,74.7,74.7,0,74.7,1.0,3,1,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,1,1,66,1,1,84.0,5714.25,0,5544.0,1.0307088744588744,8,1,1,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False
0,0,0,65,1,1,111.05,7107.0,0,7218.25,0.9845876770685416,8,0,1,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False
0,0,0,72,1,1,100.9,7459.05,0,7264.8,1.0267385199867856,7,0,1,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False
0,0,0,12,1,1,78.95,927.35,1,947.4000000000001,0.9788368165505593,4,0,1,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0,1,1,71,1,1,66.85,4748.7,0,4746.349999999999,1.0004951173006627,6,1,1,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
0,0,0,5,1,0,21.05,113.85,1,105.25,1.081710213776722,1,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
0,0,0,52,1,0,21.0,1107.2,0,1092.0,1.0139194139194139,1,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False
1,1,0,25,1,1,98.5,2514.5,1,2462.5,1.0211167512690356,6,0,1,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False
0,0,0,1,1,0,20.2,20.2,0,20.2,1.0,1,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
0,1,1,1,1,0,19.45,19.45,0,19.45,1.0,1,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,38,1,0,95.0,3605.6,0,3610.0,0.998781163434903,6,1,1,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
1,1,0,66,0,0,45.55,3027.25,0,3006.2999999999997,1.0069686990652964,4,0,1,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
0,1,0,68,1,1,110.0,7611.85,1,7480.0,1.0176270053475935,8,1,1,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False
0,0,0,5,0,0,24.3,100.2,0,121.5,0.8246913580246914,1,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
0,1,1,72,1,1,104.15,7303.05,0,7498.8,0.9738958233317331,7,0,1,False,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False
0,0,0,32,0,0,30.15,927.65,0,964.8,0.9614946102819237,2,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True
0,0,0,43,1,0,94.35,3921.3,0,4057.0499999999997,0.9665397271416425,5,0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False
0,1,1,72,1,0,19.4,1363.25,0,1396.8,0.9759808132875144,1,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False
0,1,0,55,1,1,96.75,5238.9,1,5321.25,0.9845243128964059,6,0,1,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
0,0,0,52,1,0,57.95,3042.25,0,3013.4,1.0095739032322293,5,1,1,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
0,0,0,43,1,1,91.65,3954.1,0,3940.9500000000003,1.00333675890331,5,0,1,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
1,1,0,37,1,1,76.5,2868.15,1,2830.5,1.0133015368309486,3,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
0,1,1,64,0,1,54.6,3423.5,0,3494.4,0.9797103937728937,5,1,1,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True
0,1,1,3,1,0,89.85,248.4,0,269.54999999999995,0.921535893155259,5,0,1,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
0,0,0,36,0,0,31.05,1126.35,0,1117.8,1.0076489533011272,2,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
0,1,1,10,1,1,100.25,1064.65,1,1002.5,1.061995012468828,6,0,1,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
0,0,0,41,1,0,20.65,835.15,0,846.65,0.9864170554538475,1,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False
0,1,1,27,1,1,85.2,2151.6,0,2300.4,0.9353155972874282,5,1,1,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0,1,1,56,1,1,99.8,5515.45,0,5588.8,0.9868755367878613,6,0,1,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False
0,0,0,6,1,0,20.7,112.75,0,124.19999999999999,0.9078099838969405,1,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
0,0,0,3,1,1,74.4,229.55,1,223.20000000000002,1.0284498207885304,3,0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,1,1,7,1,0,50.7,350.35,0,354.90000000000003,0.9871794871794871,3,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
0,1,1,4,1,0,20.85,62.9,0,83.4,0.7541966426858513,1,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
0,0,0,33,1,1,88.95,3027.65,0,2935.35,1.03144429114075,5,1,1,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False
1,0,0,27,1,1,78.05,2135.5,1,2107.35,1.013358008873704,4,0,1,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
0,1,0,72,1,1,23.55,1723.95,0,1695.6000000000001,1.01671974522293,2,0,0,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False
0,0,0,1,1,0,19.75,19.75,0,19.75,1.0,1,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
1,0,0,71,0,1,56.45,3985.35,0,4007.9500000000003,0.9943612071008869,5,0,1,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,True
0,0,0,13,1,1,85.95,1215.65,0,1117.3500000000001,1.0879760146775852,4,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
0,1,1,25,0,1,58.6,1502.65,1,1465.0,1.0256996587030718,6,0,1,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True
0,0,0,67,1,0,50.55,3260.1,0,3386.85,0.9625758448115506,3,1,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
